bad_ar,gender,education,marital_status,age_decile,outstanding_balance,pay_this_month,no_activity_this_month,last_payment_portion,num_recent_payments,credit_limit
1,female,2-university,married,20,0.03913,2,0,1.0,1,0.2
1,female,2-university,single,20,0.02682,0,0,0.37285607755406414,4,1.2
0,female,2-university,single,30,0.27721,0,0,0.10821986169530191,6,0.9
0,female,2-university,married,30,0.4499,0,0,0.041465386768395084,6,0.5
0,male,2-university,married,50,0.06617,0,0,0.3527336860670194,6,0.5
0,male,4-graduate school,single,30,0.619,0,0,0.043806620056422926,6,0.5
0,male,4-graduate school,single,20,3.12965,0,0,0.13348769364817012,6,5.0
0,female,2-university,single,20,0.11496,0,0,1.0,5,1.0
0,female,1-high school,married,20,0.07956,0,0,0.23616628830874006,5,1.4
0,male,1-high school,single,30,0.0,0,1,1.0,2,0.2
0,female,1-high school,single,30,0.08767,0,0,0.2356186778379483,6,2.0
0,female,4-graduate school,single,50,0.0,0,0,1.0068297185048454,5,2.6
0,female,2-university,single,40,0.11137,0,0,0.15384615384615385,5,6.3
1,male,2-university,single,30,0.62602,1,0,0.04749959180038296,4,0.7
0,male,4-graduate school,single,20,0.67887,0,0,0.044736057262153295,6,2.5
0,female,1-high school,divorced,20,0.50614,1,0,0.05335040546308152,5,0.5
1,male,4-graduate school,single,20,0.12176,0,0,0.1776790671848973,3,0.2
0,male,4-graduate school,married,40,2.42928,0,0,0.04201414803517539,6,3.2
0,female,4-graduate school,married,40,0.0,1,0,0.0,0,3.6
0,female,4-graduate school,single,20,0.0,1,0,0.0,0,1.8
0,female,1-high school,single,30,0.35358,0,0,0.1083501878069922,6,1.3
1,female,2-university,married,30,0.0,0,0,1.0,4,1.2
1,female,2-university,single,20,0.3908,2,0,0.0472847214041701,4,0.7
1,female,4-graduate school,married,40,0.0,0,1,1.0004119464469619,4,4.5
0,male,4-graduate school,single,20,0.0,0,0,0.8142857142857143,5,0.9
0,male,1-high school,single,20,0.45647,0,0,0.047189667543649845,6,0.5
1,male,4-graduate school,single,20,0.0,1,0,2.0,3,0.6
0,female,1-high school,single,30,0.21241,0,0,0.0805552113025158,6,0.5
0,female,1-high school,married,40,0.0,0,0,1.0,5,0.5
0,male,4-graduate school,single,20,0.13829,0,0,0.09049773755656108,5,0.5
0,female,4-graduate school,single,20,0.0,0,0,1.0002896032435564,5,2.3
1,male,2-university,single,30,0.288,2,0,0.05800526706732392,6,0.5
0,male,4-graduate school,single,30,0.90013,0,0,0.03595770241819415,6,1.0
0,female,2-university,married,50,0.06777,0,1,1.0,6,5.0
0,male,4-graduate school,married,50,0.08703,0,1,1.0,5,5.0
0,male,4-graduate school,single,30,0.30134,0,0,0.0,5,1.6
0,male,2-university,married,40,1.78477,0,0,0.04426233124503662,6,2.8
0,female,2-university,single,20,0.13554,0,0,0.1529675708749745,5,0.6
1,male,4-graduate school,single,20,0.0,1,0,1.0,1,0.5
0,male,4-graduate school,single,30,0.0,0,0,1.0,5,2.8
0,male,4-graduate school,single,30,2.08668,0,0,0.045188345022051914,6,3.6
0,female,4-graduate school,single,20,0.64521,0,0,0.04477678771324945,6,0.7
0,male,2-university,single,20,0.00377,0,0,0.47110552763819097,6,0.1
0,female,2-university,married,30,0.56504,0,0,0.04874561289483947,6,1.4
0,female,4-graduate school,single,30,0.15927,0,0,0.1408781404085466,4,0.4
1,male,4-graduate school,single,20,0.0,0,1,0.0,0,2.1
1,female,4-graduate school,single,20,0.11028,0,0,0.18199466148992963,3,0.2
1,female,5-phd,single,40,0.0345,0,0,0.3338826631509558,2,1.5
0,male,2-university,single,30,0.00861,0,0,1.0,6,3.8
0,male,4-graduate school,single,20,0.16129,0,0,0.0713242058552952,6,0.2
1,male,1-high school,single,40,0.37042,1,0,0.08082388215356538,4,0.7
0,female,1-high school,divorced,40,0.59559,0,0,0.03909074917420793,6,1.0
