invoice_id,customer_id,invoice_date,amount,paid_date
INV-00001,C-1001,2025-02-10,11223.93,
INV-00002,C-1001,2025-05-01,16344.30,2025-12-22
INV-00003,C-1001,2025-06-20,15499.70,2026-02-16
INV-00004,C-1001,2025-07-04,20522.40,
INV-00005,C-1001,2025-07-08,9096.42,2026-03-11
INV-00006,C-1001,2025-07-23,6504.66,2026-03-08
INV-00007,C-1001,2025-07-31,13983.09,2026-03-27
INV-00008,C-1001,2025-08-04,8659.22,2026-03-09
INV-00009,C-1001,2025-08-07,9585.70,2026-03-25
INV-00010,C-1001,2025-08-13,9989.84,
INV-00011,C-1001,2025-08-24,19576.25,
INV-00012,C-1001,2025-08-25,13315.32,
INV-00013,C-1001,2025-09-01,11015.06,
INV-00014,C-1001,2025-10-21,2174.65,
INV-00015,C-1001,2025-12-05,3574.40,
INV-00016,C-1001,2026-01-20,7104.81,
INV-00017,C-1001,2026-03-01,15624.13,
INV-00018,C-1002,2025-01-24,16687.34,2025-04-10
INV-00019,C-1002,2025-02-11,13217.55,2025-05-28
INV-00020,C-1002,2025-02-16,13330.04,
INV-00021,C-1002,2025-06-27,19733.25,2025-10-09
INV-00022,C-1002,2025-07-04,23837.30,2025-09-03
INV-00023,C-1002,2025-09-21,4734.46,2025-12-21
INV-00024,C-1002,2025-10-15,10681.61,2026-01-25
INV-00025,C-1002,2026-01-06,15240.69,
INV-00026,C-1002,2026-01-28,19303.89,
INV-00027,C-1002,2026-03-23,21404.97,
INV-00028,C-1003,2025-06-21,9819.13,2025-10-08
INV-00029,C-1003,2025-08-19,12153.28,
INV-00030,C-1003,2025-08-26,7960.17,2025-11-27
INV-00031,C-1003,2025-09-13,5692.61,2025-12-02
INV-00032,C-1003,2025-10-06,10119.96,2026-02-01
INV-00033,C-1003,2025-11-07,7658.55,2026-02-14
INV-00034,C-1003,2025-12-27,16664.65,
INV-00035,C-1003,2026-01-31,9700.90,
INV-00036,C-1003,2026-02-04,15068.84,
INV-00037,C-1003,2026-02-08,8761.98,
INV-00038,C-1004,2025-02-21,11549.30,2025-09-16
INV-00039,C-1004,2025-02-26,15571.08,2025-09-28
INV-00040,C-1004,2025-03-27,15991.18,2025-10-12
INV-00041,C-1004,2025-03-28,9117.57,2025-10-19
INV-00042,C-1004,2025-05-19,22867.11,2025-12-18
INV-00043,C-1004,2025-06-18,21131.52,2025-12-29
INV-00044,C-1004,2025-07-05,11058.08,2026-01-31
INV-00045,C-1004,2025-07-05,10611.82,2026-02-03
INV-00046,C-1004,2025-07-07,19222.46,2026-01-30
INV-00047,C-1004,2025-07-20,10529.96,2026-03-20
INV-00048,C-1004,2025-08-03,10634.75,2026-03-05
INV-00049,C-1004,2025-09-20,11864.77,2026-03-30
INV-00050,C-1004,2025-10-16,13770.34,
INV-00051,C-1004,2025-11-13,12903.21,
INV-00052,C-1004,2026-01-29,17684.44,
INV-00053,C-1004,2026-02-03,15339.76,
INV-00054,C-1004,2026-02-24,25880.93,
INV-00055,C-1005,2025-01-14,5911.70,2025-04-07
INV-00056,C-1005,2025-01-18,7075.96,
INV-00057,C-1005,2025-01-26,9924.86,
INV-00058,C-1005,2025-01-29,5961.88,
INV-00059,C-1005,2025-01-31,10555.75,2025-04-27
INV-00060,C-1005,2025-03-21,7698.46,2025-06-21
INV-00061,C-1005,2025-04-25,7832.57,
INV-00062,C-1005,2025-07-14,15244.58,
INV-00063,C-1005,2025-08-19,12817.79,
INV-00064,C-1005,2025-11-04,12114.32,
INV-00065,C-1005,2025-11-07,6828.65,2026-02-26
INV-00066,C-1005,2025-11-25,15911.89,2026-02-11
INV-00067,C-1005,2025-12-23,11573.16,
INV-00068,C-1005,2026-02-11,10372.99,
INV-00069,C-1005,2026-03-18,15949.44,
INV-00070,C-1006,2025-03-17,9861.98,2025-06-12
INV-00071,C-1006,2025-05-04,15182.14,2025-08-27
INV-00072,C-1006,2025-05-11,3800.99,2025-09-07
INV-00073,C-1006,2025-06-21,10164.68,2025-09-27
INV-00074,C-1006,2025-08-10,4614.24,2025-11-26
INV-00075,C-1006,2025-09-06,14353.34,2025-12-07
INV-00076,C-1006,2025-11-07,13681.39,2026-02-09
INV-00077,C-1006,2025-12-24,9791.28,2026-03-09
INV-00078,C-1006,2026-01-18,7943.03,
INV-00079,C-1006,2026-01-27,10120.00,
INV-00080,C-1006,2026-02-10,9662.46,
INV-00081,C-1006,2026-02-16,9870.84,
INV-00082,C-1007,2025-01-05,12038.84,2025-08-06
INV-00083,C-1007,2025-03-09,13708.93,2025-10-05
INV-00084,C-1007,2025-03-12,3272.38,
INV-00085,C-1007,2025-05-10,601.70,
INV-00086,C-1007,2025-08-10,19766.02,
INV-00087,C-1007,2025-08-12,13343.45,
INV-00088,C-1007,2026-01-26,2681.16,
INV-00089,C-1007,2026-02-11,6624.72,
INV-00090,C-1007,2026-02-25,15593.03,
INV-00091,C-1007,2026-03-17,8329.37,
INV-00092,C-1008,2025-01-02,17037.71,2025-06-30
INV-00093,C-1008,2025-02-21,22444.71,2025-08-26
INV-00094,C-1008,2025-04-07,15862.97,2025-10-28
INV-00095,C-1008,2025-04-15,12944.31,2025-11-01
INV-00096,C-1008,2025-05-11,22425.18,2025-11-16
INV-00097,C-1008,2025-07-25,13073.73,2026-02-15
INV-00098,C-1008,2025-08-31,3037.11,2026-03-03
INV-00099,C-1008,2025-09-09,15960.72,2026-03-23
INV-00100,C-1008,2025-12-03,14457.91,
INV-00101,C-1008,2026-01-08,16953.66,
INV-00102,C-1008,2026-01-25,16802.24,
INV-00103,C-1008,2026-02-06,11202.27,
INV-00104,C-1009,2025-01-14,15332.60,2025-03-25
INV-00105,C-1009,2025-02-22,18275.99,2025-05-24
INV-00106,C-1009,2025-02-28,15011.63,2025-05-12
INV-00107,C-1009,2025-03-31,14574.38,2025-06-16
INV-00108,C-1009,2025-04-20,13529.97,2025-05-25
INV-00109,C-1009,2025-07-10,17276.34,2025-09-14
INV-00110,C-1009,2025-07-24,14621.92,2025-10-26
INV-00111,C-1009,2025-08-01,14641.83,
INV-00112,C-1009,2025-09-01,19390.70,2025-10-22
INV-00113,C-1009,2025-09-20,16458.70,
INV-00114,C-1009,2025-10-24,17710.10,2026-01-02
INV-00115,C-1009,2025-11-08,13715.51,2026-01-17
INV-00116,C-1009,2025-12-20,3695.97,2026-02-01
INV-00117,C-1009,2026-01-21,15169.97,
INV-00118,C-1009,2026-02-06,24187.26,
INV-00119,C-1010,2025-02-11,13562.34,2025-05-04
INV-00120,C-1010,2025-02-12,13384.63,2025-05-14
INV-00121,C-1010,2025-05-16,10097.95,2025-08-10
INV-00122,C-1010,2025-05-27,15031.43,2025-07-08
INV-00123,C-1010,2025-08-28,12525.66,2025-11-08
INV-00124,C-1010,2025-12-03,10803.89,
INV-00125,C-1010,2025-12-07,10475.35,2026-03-23
INV-00126,C-1010,2025-12-25,7607.03,2026-03-06
INV-00127,C-1010,2026-01-29,13500.72,
INV-00128,C-1010,2026-03-16,10906.06,
INV-00129,C-1011,2025-02-17,13046.12,2025-08-23
INV-00130,C-1011,2025-03-03,3609.05,2025-09-09
INV-00131,C-1011,2025-03-10,7230.65,
INV-00132,C-1011,2025-04-05,50.00,2025-10-23
INV-00133,C-1011,2025-04-05,8297.76,2025-10-27
INV-00134,C-1011,2025-05-11,5075.40,2025-10-16
INV-00135,C-1011,2025-06-02,6580.14,2025-11-21
INV-00136,C-1011,2025-12-22,7345.94,
INV-00137,C-1011,2025-12-27,8775.89,
INV-00138,C-1011,2026-01-28,3349.92,
INV-00139,C-1011,2026-02-18,11466.41,
INV-00140,C-1011,2026-03-05,5830.97,
INV-00141,C-1012,2025-01-03,10354.75,2025-04-16
INV-00142,C-1012,2025-01-03,23372.88,2025-05-14
INV-00143,C-1012,2025-01-28,11656.94,2025-05-02
INV-00144,C-1012,2025-02-07,7408.77,2025-06-06
INV-00145,C-1012,2025-03-13,15140.93,2025-07-26
INV-00146,C-1012,2025-03-26,10192.44,2025-06-16
INV-00147,C-1012,2025-05-28,8141.52,2025-08-17
INV-00148,C-1012,2025-06-07,12520.06,2025-09-11
INV-00149,C-1012,2025-06-28,15002.21,2025-11-03
INV-00150,C-1012,2025-11-08,17642.59,2026-01-26
INV-00151,C-1012,2025-11-26,18306.25,2026-03-16
INV-00152,C-1012,2025-12-11,12465.00,2026-03-09
INV-00153,C-1012,2025-12-30,18564.28,
INV-00154,C-1012,2026-02-05,8486.49,
INV-00155,C-1012,2026-03-02,5125.39,
INV-00156,C-1013,2025-01-05,6818.00,2025-04-03
INV-00157,C-1013,2025-01-14,5867.98,2025-10-29
INV-00158,C-1013,2025-02-08,3393.60,2025-12-23
INV-00159,C-1013,2025-04-04,17838.12,2025-06-23
INV-00160,C-1013,2025-04-26,5167.67,2025-07-13
INV-00161,C-1013,2025-05-01,4850.50,2025-08-08
INV-00162,C-1013,2025-06-07,2404.13,2025-08-07
INV-00163,C-1013,2025-07-03,2170.18,
INV-00164,C-1013,2025-07-19,13052.57,2025-09-22
INV-00165,C-1013,2025-08-09,11173.22,2025-10-20
INV-00166,C-1013,2025-08-20,6929.82,2025-10-10
INV-00167,C-1013,2025-09-30,15410.26,2025-12-02
INV-00168,C-1013,2025-10-06,10149.18,2025-11-26
INV-00169,C-1013,2026-01-15,9182.72,2026-03-29
INV-00170,C-1013,2026-03-20,6280.73,
INV-00171,C-1014,2025-01-01,18648.81,2025-03-08
INV-00172,C-1014,2025-01-18,16683.86,
INV-00173,C-1014,2025-02-21,16807.88,2025-07-17
INV-00174,C-1014,2025-02-25,16123.52,2025-06-29
INV-00175,C-1014,2025-05-25,13640.90,2025-08-18
INV-00176,C-1014,2025-05-27,15241.58,2025-09-07
INV-00177,C-1014,2025-06-01,25496.75,2025-10-07
INV-00178,C-1014,2025-08-02,11198.15,2025-11-11
INV-00179,C-1014,2025-08-11,13677.79,2025-11-16
INV-00180,C-1014,2025-08-17,15068.50,2025-12-14
INV-00181,C-1014,2025-08-22,17508.89,2025-12-06
INV-00182,C-1014,2025-08-30,15475.93,2025-11-16
INV-00183,C-1014,2025-09-09,15600.81,2026-01-06
INV-00184,C-1014,2025-11-29,12694.24,
INV-00185,C-1014,2026-01-28,20365.35,
