invoice_id,customer_id,invoice_date,amount,paid_date
INV-00001,C-1001,2025-02-21,10532.83,2025-04-28
INV-00002,C-1001,2025-02-28,7066.38,2025-05-02
INV-00003,C-1001,2025-03-02,15691.99,
INV-00004,C-1001,2025-05-01,6842.10,2025-07-06
INV-00005,C-1001,2025-06-11,9767.83,2025-07-30
INV-00006,C-1001,2025-07-03,9168.59,2025-09-05
INV-00007,C-1001,2025-09-08,11613.11,2025-11-08
INV-00008,C-1001,2025-09-22,10502.11,2025-11-21
INV-00009,C-1001,2025-11-13,8104.09,2026-01-03
INV-00010,C-1001,2025-11-29,4962.65,2026-01-11
INV-00011,C-1001,2025-12-08,9561.96,2026-03-20
INV-00012,C-1001,2025-12-14,6976.87,2026-03-03
INV-00013,C-1001,2026-01-11,10677.63,2026-02-27
INV-00014,C-1001,2026-01-16,9090.68,
INV-00015,C-1001,2026-02-03,13858.17,
INV-00016,C-1002,2025-01-08,8806.31,2025-03-17
INV-00017,C-1002,2025-02-16,8608.37,2025-05-20
INV-00018,C-1002,2025-05-05,11995.94,
INV-00019,C-1002,2025-06-12,13766.29,2025-08-18
INV-00020,C-1002,2025-07-05,7727.86,2025-08-27
INV-00021,C-1002,2025-07-14,6964.32,2025-09-08
INV-00022,C-1002,2025-09-01,9386.96,2025-11-16
INV-00023,C-1002,2025-09-02,11741.14,
INV-00024,C-1002,2025-09-17,799.52,2025-10-16
INV-00025,C-1002,2025-11-10,10850.91,2025-12-31
INV-00026,C-1002,2025-11-10,6404.09,2025-12-30
INV-00027,C-1002,2025-11-23,10109.25,2026-02-05
INV-00028,C-1002,2025-12-12,6142.78,2026-02-16
INV-00029,C-1002,2025-12-28,7829.96,2026-03-16
INV-00030,C-1002,2025-12-31,9998.11,
INV-00031,C-1002,2026-01-06,14117.32,2026-03-26
INV-00032,C-1002,2026-03-22,4621.01,
INV-00033,C-1003,2025-01-20,16819.12,2025-07-17
INV-00034,C-1003,2025-02-20,24186.44,2025-08-02
INV-00035,C-1003,2025-03-25,14982.26,
INV-00036,C-1003,2025-03-30,18562.57,2025-08-11
INV-00037,C-1003,2025-07-05,9019.01,
INV-00038,C-1003,2025-07-05,19198.67,2025-11-26
INV-00039,C-1003,2025-07-16,13074.95,
INV-00040,C-1003,2025-07-22,22273.38,2026-01-05
INV-00041,C-1003,2025-08-01,13551.88,2025-12-23
