customer_id,region,segment,industry,tenure_months,credit_limit,avg_balance,annual_spend,prior_late_count,days_since_last_order,orders_per_year,discount_rate,avg_order_value,noise_a,noise_b,days_to_pay,defaulted
C-01000,Mountain Central,Outdoor Retail,Retail,23,13914.12,4841.35,25992.6,3,41,13,6.44,1999.43,37.677,99.031,25.7,1
C-01001,Desert Southwest,Resort,Hospitality,51,65218.4,36656.53,393988.72,6,6,12,6.14,32832.39,47.64,0.247,71.2,0
C-01002,Desert Southwest,School District,Public Sector,3,19248.51,10015.56,69501.87,2,5,9,0.69,7722.43,49.448,64.429,46.5,0
C-01003,Desert Southwest,Resort,Hospitality,17,20349.31,8584.06,59762.6,2,108,15,0.0,3984.17,41.005,31.907,35.2,0
C-01004,Mountain Central,Outdoor Retail,Retail,2,33551.54,13782.11,96536.26,2,17,9,4.48,10726.25,21.311,70.355,37.5,0
C-01005,Mountain North,Resort,Hospitality,14,38353.73,23942.95,208551.99,2,30,21,2.01,9931.05,30.579,26.208,50.7,0
C-01006,Mountain Central,School District,Public Sector,34,31705.81,10716.95,67001.75,3,16,11,1.28,6091.07,41.981,33.133,41.8,0
C-01007,Mountain Central,School District,Public Sector,23,47943.9,25625.97,241284.43,3,12,16,0.44,15080.28,63.922,62.416,63.6,0
C-01008,Mountain Central,Resort,Hospitality,41,48949.28,23781.36,224316.44,5,63,7,3.98,32045.21,62.174,29.908,47.9,1
C-01009,Mountain North,Outfitter,Recreation Services,22,31016.1,13925.62,104685.75,0,65,18,6.36,5815.88,35.592,62.387,24.9,0
C-01010,Mountain North,School District,Public Sector,37,43249.42,19951.13,185473.1,1,66,6,2.94,30912.18,58.494,26.419,37.6,0
C-01011,Mountain Central,School District,Public Sector,23,28120.95,8627.01,59790.7,1,155,6,0.94,9965.12,43.92,53.035,36.6,0
C-01012,Desert Southwest,School District,Public Sector,21,22320.25,9291.77,43946.06,0,20,10,2.5,4394.61,41.834,54.669,27.0,0
C-01013,Mountain Central,Resort,Hospitality,18,26747.73,11304.89,77277.39,1,77,7,5.03,11039.63,53.931,30.565,34.0,0
C-01014,Desert Southwest,Resort,Hospitality,9,70320.1,39418.9,379498.65,3,42,16,3.69,23718.67,41.247,53.676,62.4,0
C-01015,Mountain North,School District,Public Sector,43,25541.38,9683.6,72960.32,2,8,9,0.95,8106.7,29.393,69.28,35.7,0
C-01016,Mountain Central,School District,Public Sector,15,31824.84,16095.22,143237.61,1,28,27,1.54,5305.1,35.904,55.899,48.3,0
C-01017,Mountain Central,Resort,Hospitality,26,36558.36,19845.55,205047.97,2,8,7,1.51,29292.57,71.864,4.87,39.8,0
C-01018,Mountain Central,Outdoor Retail,Retail,36,23589.79,7143.44,54086.84,2,11,13,4.67,4160.53,48.98,30.353,26.0,0
C-01019,Desert Southwest,Outdoor Retail,Retail,50,17926.62,6274.24,37023.28,3,90,23,1.87,1609.71,49.155,74.309,33.2,0
C-01020,Desert Southwest,Outdoor Retail,Retail,1,43410.82,19869.98,159911.24,2,53,13,5.95,12300.86,48.102,87.971,35.8,0
C-01021,Mountain Central,Resort,Hospitality,41,30722.24,15589.15,105614.09,1,41,29,1.91,3641.87,52.593,51.523,34.1,1
C-01022,Mountain North,Outdoor Retail,Retail,19,28510.87,13524.9,86552.07,1,25,25,0.8,3462.08,41.677,24.63,24.4,0
C-01023,Mountain Central,Outdoor Retail,Retail,74,55680.81,34909.4,312833.81,3,24,22,4.03,14219.72,34.712,86.683,62.5,0
C-01024,Mountain Central,Outdoor Retail,Retail,15,24567.64,8640.46,64940.6,3,65,10,7.15,6494.06,52.856,32.621,28.9,0
C-01025,Mountain Central,Resort,Hospitality,113,192356.62,126954.13,1707537.87,1,76,39,6.72,43783.02,50.54,7.86,112.8,0
C-01026,Mountain North,Outfitter,Recreation Services,15,16947.98,5302.24,37120.95,2,6,19,7.1,1953.73,44.771,94.873,26.4,1
C-01027,Mountain Central,Outfitter,Recreation Services,4,47220.93,21489.79,189906.07,1,1,17,4.52,11170.95,45.481,57.531,33.8,0
C-01028,Mountain North,School District,Public Sector,10,41515.26,18942.42,170020.28,1,16,18,3.6,9445.57,54.095,63.179,34.7,0
C-01029,Mountain North,Outdoor Retail,Retail,58,83530.71,48710.31,564090.97,2,17,23,0.94,24525.69,45.825,2.803,56.1,0
C-01030,Mountain Central,Resort,Hospitality,70,43785.86,17079.94,148765.67,1,20,13,6.78,11443.51,36.867,9.544,25.8,0
C-01031,Mountain North,School District,Public Sector,40,83784.55,62149.65,738421.89,1,32,27,4.22,27348.96,44.298,0.548,72.2,0
C-01032,Mountain North,Outfitter,Recreation Services,6,62565.52,35827.75,392019.61,5,15,21,9.24,18667.6,43.693,78.824,32.1,0
C-01033,Desert Southwest,Outdoor Retail,Retail,18,86592.72,46958.15,511657.96,2,4,19,3.35,26929.37,79.075,19.826,72.3,0
C-01034,Mountain Central,Outdoor Retail,Retail,34,30811.38,12081.64,94081.79,0,54,22,4.2,4276.44,41.49,96.397,13.0,0
C-01035,Desert Southwest,School District,Public Sector,3,26839.84,9526.1,63597.81,0,45,10,2.17,6359.78,72.218,84.557,30.7,0
C-01036,Desert Southwest,Outdoor Retail,Retail,77,109279.23,85365.31,1082099.27,1,24,26,7.39,41619.2,65.39,32.319,77.4,0
C-01037,Mountain Central,School District,Public Sector,11,17505.03,5552.15,34702.62,1,11,3,1.96,11567.54,36.397,74.617,34.5,0
C-01038,Mountain Central,Outdoor Retail,Retail,55,15092.16,4618.93,27739.99,2,25,20,2.68,1387.0,59.927,26.678,12.8,0
C-01039,Mountain North,Resort,Hospitality,5,31380.47,13824.23,126274.63,2,20,17,4.42,7427.92,48.916,28.769,34.3,0
C-01040,Mountain Central,Resort,Hospitality,64,16721.3,6592.13,37762.23,3,42,14,6.17,2697.3,64.571,60.74,29.8,0
C-01041,Mountain North,School District,Public Sector,21,57604.16,29862.54,274963.07,3,33,17,3.98,16174.3,35.516,63.408,55.9,0
C-01042,Desert Southwest,School District,Public Sector,8,8215.94,2547.86,9506.37,4,33,19,1.87,500.34,50.098,60.193,42.6,0
C-01043,Mountain Central,School District,Public Sector,22,18935.7,7833.97,44717.14,2,15,21,2.38,2129.39,48.888,84.97,33.5,0
C-01044,Mountain Central,Outfitter,Recreation Services,33,106193.64,72448.0,971493.57,3,55,34,1.42,28573.34,60.149,76.596,76.4,1
C-01045,Mountain North,Outdoor Retail,Retail,20,64833.94,33669.99,347950.34,0,69,13,4.31,26765.41,71.512,66.944,44.2,0
C-01046,Mountain North,Resort,Hospitality,23,26631.95,13150.82,89269.19,2,57,15,1.46,5951.28,48.291,13.714,33.8,0
C-01047,Mountain Central,Outdoor Retail,Retail,12,10422.38,1746.54,5007.9,0,55,17,2.13,294.58,36.379,56.881,23.9,0
C-01048,Mountain Central,School District,Public Sector,52,100363.63,63062.66,736549.11,4,79,22,2.09,33479.5,54.036,77.129,93.1,1
C-01049,Mountain Central,School District,Public Sector,24,36650.99,14848.96,141477.49,0,14,12,2.08,11789.79,59.434,79.958,40.6,0
C-01050,Desert Southwest,Outdoor Retail,Retail,42,115050.86,84460.39,1061431.51,3,66,34,1.94,31218.57,43.74,35.846,95.6,1
C-01051,Mountain Central,Outdoor Retail,Retail,8,66565.61,42864.81,432833.7,0,21,30,3.23,14427.79,51.926,8.053,38.7,0
C-01052,Mountain Central,Resort,Hospitality,32,28988.96,13522.56,111299.93,1,11,10,2.84,11129.99,58.367,18.459,25.0,0
